target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,49038,0,1,0,1.1104614695,48.593165656,3.5792349727,0,0,3.3767272999,861
0,OTHER,elementary,Corporate,59955,0,1,1,0.2409722222,25.056179355,2.4287820945,0,0,1.0452204506,868
0,OTHER,elementary,,87000,0,0,0,4.8277329749,51.093712104,5.7950819672,0,0,5.7348079946,870
0,OTHER,elementary,,200000,0,0,1,0.5331317204,53.660648252,5.8633879781,0,0,7.0825660603,875
0,2NDFL,beginner,,34800,0,0,,,46.60157946,2.048154802,,,1.5577438431,885
0,OTHER,elementary,Corporate,49013,0,1,,,30.534246575,5.5342465753,,,9.9698630137,894
0,OTHER,advanced,Corporate,36184,0,1,0,3.7306451613,25.168702747,1.9276068568,0,0,4.4892506924,895
0,OTHER,elementary,,39150,0,0,0,22.088956093,34.220218579,0.5956284153,0,1,8.7599446066,898
0,OTHER,elementary,Corporate,75405,0,1,0,0.4353718638,45.419178082,2.1123287671,1,1,0.3776330564,906
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,924
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,925
0,OTHER,elementary,Corporate,55423,0,1,1,0.4114247312,51.885245902,1.8212740475,0,0,6.8623699379,930
0,2NDFL,beginner,,68952,0,0,0,1.2515456989,27.029493226,1.5856576091,,,5.8459315817,931
0,OTHER,elementary,Corporate,77107,0,1,0,0.6980734767,25.037001273,2.1657683958,0,0,5.0150834643,933
0,OTHER,elementary,Corporate,44843,0,1,0,,25.836177858,1.0526162138,0,0,2.5348079946,934
0,OTHER,elementary,Corporate,40551,0,1,0,,28.257100082,0.6434014522,0,0,0.818743918,936
0,OTHER,elementary,Corporate,62000,0,0,0,7.5047267025,39.975409836,9.5546298376,0,0,10.606684632,940
0,2NDFL,elementary,,,0,1,0,0.3141577061,26.016438356,1.9424657534,1,1,5.8684931507,944
0,OTHER,elementary,Corporate,107807,0,1,2,0.5967741935,41.613780972,5.9699453552,0,1,8.4808743169,945
0,OTHER,elementary,Corporate,20185,0,1,1,0.9853046595,30.639389176,0.5,0,0,10.094183696,947
0,OTHER,elementary,Corporate,109242,0,1,0,12.533198925,43.397260274,16.799086758,1,1,10.567123288,948
0,OTHER,advanced,Corporate,20316,0,1,1,0.8288530466,25.211520323,1.3594655289,0,0,5.1676847069,955
0,OTHER,elementary,Corporate,29215,0,1,0,,25.047922749,4.0904109589,,,4.8648626394,963
0,OTHER,elementary,,23800,0,0,0,6.4057123656,47.230863089,0.5765027322,0,0,2.2171644584,965
0,OTHER,elementary,,300000,0,0,,,55.077273748,1.2252189535,,,9.5950819672,966
0,OTHER,elementary,Corporate,113691,0,1,0,0.1870967742,28.128767123,1.6547945205,1,1,8.104109589,969
0,OTHER,elementary,Corporate,89211,0,1,0,0.5014560932,27.235863463,4.2349726776,0,0,7.1701100382,972
0,OTHER,elementary,,73950,0,0,1,0.6352598566,43.40157946,0.5084287746,0,0,8.9988397335,974
0,2NDFL,advanced,,44693,0,0,1,1.1524193548,48.74420241,0.8263941912,0,0,3.7295081967,991
0,2NDFL,advanced,,68174,0,0,1,1,30.307567932,5.0719514934,0,0,6.9815405345,1009
0,OTHER,beginner,Corporate,50000,0,1,0,-0.816666667,44.416438356,2.9671232877,1,1,11.419178082,1014
0,2NDFL,elementary,,31742,0,0,,,45.775342466,1.4794520548,,,0.7414252564,1015
0,OTHER,elementary,Corporate,186827,0,1,0,22.540300179,36.530705891,0.8567332884,0,0,1.1060483569,1016
0,OTHER,elementary,,100000,0,0,,,55.819178082,8.4849315068,,,10.150684932,1017
0,OTHER,elementary,Corporate,110252,0,1,0,20.410819892,27.975409836,3.1243281683,0,1,7.956284153,1018
0,OTHER,elementary,Corporate,78877,0,1,,,31.561643836,1.8273972603,,,11.419178082,1022
0,OTHER,elementary,Corporate,130000,0,0,0,0.7974910394,30.178082192,1.9232876712,1,1,9.4547945205,1023
0,OTHER,elementary,,75000,0,0,1,0.7651657706,46.068493151,2.5397260274,1,1,1.0315293061,1024
0,2NDFL,beginner,,134724,0,0,3,0.281765233,36.423654465,7.3589041096,1,1,11.183561644,1028
0,OTHER,elementary,Corporate,67184,0,1,0,0.66234319,28.710472341,3.7732240437,0,0,8.2213114754,1036
0,OTHER,elementary,Corporate,25338,0,1,0,0.8603046595,25.810958904,2.5589041096,1,1,5.7232876712,1046
0,2NDFL,high,,37333,0,0,,,55.02739726,1.9917808219,,,9.5397260274,1058
0,OTHER,elementary,Corporate,49171,0,1,0,2.0789650538,30.789415375,1.9921551014,0,0,2.7318811288,1059
0,OTHER,beginner,,100000,0,0,1,0.8536290323,33.188030541,8.2841530055,1,1,10.070222322,1067
0,2NDFL,elementary,,39101,0,0,0,1.2157930108,31.075364923,7.7431693989,4,4,3.1465977992,1075
0,OTHER,elementary,Corporate,21076,0,1,,,29.910629538,5.6202185792,,,9.699670634,1080
0,OTHER,elementary,,60000,0,0,1,0.217562724,31.298630137,4.9949696834,0,0,9.3150684932,1086
0,OTHER,elementary,,150000,0,0,1,0.9859767025,44.409836066,11.81147541,0,0,8.2732240437,1095
0,2NDFL,elementary,,11670,1,0,,,32.172131148,1.0375477206,,,10.506040871,1098
0,OTHER,elementary,,80000,0,0,0,37.154323477,29.588038027,0.6702298076,0,0,7.7568306011,1107
0,OTHER,advanced,,70000,0,0,0,20.537051971,40.475409836,11.214260049,0,0,11.389602515,1109
0,2NDFL,elementary,,21390,0,0,,,41.416438356,11.495890411,,,10.44109589,1110
0,2NDFL,advanced,,39977,0,0,0,53.118055556,32.128415301,1.0361778576,0,0,11.603301145,1111
0,OTHER,elementary,Corporate,85575,0,1,1,0.3084677419,33.531881129,2.5346208549,0,0,10.035990718,1123
0,OTHER,elementary,,16900,0,0,0,54.988530466,51.180821918,0.3890410959,1,1,6.0794520548,1129
0,2NDFL,elementary,,36063,0,0,0,1.3705645161,26.22860244,1.7272325773,0,0,6.1464106595,1132
0,OTHER,elementary,Corporate,90714,0,1,0,13.96124552,35.063013699,0.2572647653,0,1,10.75890411,1149
0,2NDFL,elementary,,18198,0,0,,,31.530054645,2.5767347855,,,8.6150909499,1151
0,OTHER,elementary,,60000,0,0,0,38.924798387,36.976165881,0.6947451157,0,0,9.2630511266,1156
0,OTHER,advanced,,20000,0,0,1,0.9562275986,27.732240437,4.894355865,0,0,7.5710382514,1158
0,2NDFL,elementary,,183527,0,0,1,0.5074148746,38.109154877,5.8571000823,0,0,0.3064151508,1162
